trainer/global_step,train_loss
184,0.7953990697860720
199,0.7786411643028260
234,0.7034685611724850
369,0.6826819181442260
409,0.6183943152427670
444,0.6501946449279790
504,0.67136150598526
524,0.5868442058563230
544,0.6209513545036320
564,0.5965137481689450
594,0.5876700282096860
629,0.615021288394928
644,0.6004732251167300
659,0.6275001764297490
694,0.6117527484893800
714,0.6216934323310850
824,0.5649073123931890
934,0.5724632740020750
959,0.5695496201515200
1009,0.5969406366348270
1044,0.5520503520965580
1059,0.5438876748085020
1114,0.5525124669075010
1189,0.6152853965759280
1194,0.5351800322532650
1329,0.5226491093635560
1364,0.5413063764572140
1384,0.5661779642105100
1394,0.5573372840881350
1414,0.5438917279243470
1424,0.5237285494804380
1434,0.5570555329322820
1524,0.523175835609436
1579,0.5168346166610720
1644,0.5354072451591490
1689,0.5050209164619450
1739,0.4972184896469120
1794,0.5445245504379270
1899,0.5357003808021550
1919,0.5379925966262820
2004,0.5322076678276060
2044,0.5091458559036260
2079,0.5314630270004270
2124,0.5084941387176510
2159,0.5329635739326480
2179,0.48832619190216100
2229,0.5126046538352970
2319,0.5212982296943670
2344,0.5171504616737370
2359,0.4940870702266690
2419,0.5150100588798520
2429,0.5185713171958920
2469,0.5179398655891420
2544,0.5484075546264650
2574,0.5208371877670290
2639,0.4711467623710630
2644,0.5225585103034970
2664,0.4851306676864620
2869,0.5011574625968930
2884,0.5064120292663570
2919,0.5309345722198490
3004,0.4988154172897340
3054,0.4896932542324070
3064,0.49918967485427900
3119,0.4729460179805760
3364,0.4787624776363370
3434,0.4878678023815160
3539,0.504777193069458
3559,0.44436365365982100
3584,0.4928738474845890
3599,0.4766409695148470
3769,0.5177180767059330
3824,0.5115519165992740
3869,0.4873495399951940
3914,0.48336273431778000
4029,0.4865654706954960
4049,0.4942767024040220
4054,0.4931830167770390
4079,0.4899562299251560
4199,0.5207907557487490
4204,0.4964791536331180
4224,0.4714104235172270
4249,0.5039389729499820
4289,0.43664219975471500
4329,0.47104763984680200
4354,0.4892968833446500
4399,0.4799094796180730
4474,0.4653282463550570
4524,0.489475280046463
4529,0.47618985176086400
4544,0.5077836513519290
4569,0.4530737102031710
4654,0.4809513092041020
4679,0.4930385649204250
4689,0.5100987553596500
4704,0.463793009519577
4929,0.4645785391330720
5069,0.43595823645591700
5074,0.4512513279914860
5089,0.4652049243450170
5129,0.508980393409729
5199,0.4622955322265630
5234,0.5110382437705990
5239,0.4984348714351650
5284,0.5042273998260500
5304,0.4402763843536380
5334,0.5232217907905580
5379,0.5061362981796270
5399,0.4687471985816960
5404,0.46371251344680800
5484,0.43846842646598800
5499,0.4851294159889220
5504,0.524662435054779
5559,0.4621083736419680
5564,0.4689456522464750
5669,0.4792714118957520
5719,0.4759714603424070
5724,0.4755202829837800
5759,0.5043764710426330
5774,0.4826765954494480
